lcp
1019
473.2
2707.5
1418.7
523.5
1260.7
3127.8
1061
466.9
665.4
549
459.9
784
415.3
498
2196.3
887.2
378.7
367.6
424.899
855.1
357
1580.2
469.3
537.6
321.7
7100.2
