fid
31.7
5.90
14.5
19.5
245.3
80.7
13.8
39.5
12.9
11.5
17.4
14
16
8
9
16.5
11.8
18.5
8
8.5
357.1
212.7
119.8
14.2
11
12.2
2662.1
