lcp
2912.1
1400.1
2031
5701.4
2603.2
5411
5612.4
3821
4623.2
2114.2
5442
2701.3
1221.7
2010.3
4629.1
8791
3402.7
9319.8
2046.4
9412.2
4111.2
9782.8
3232.3
1788.2
6131.7
3194.7
3164.8
