lcp
1168.5
460.7
2691.6
1352.6
601.7
1316.5
4194.6
1510
514.2
790.2
584
537
400.4
417.5
344.7
656.6
926.7
340.2
422.2
418.4
1038.5
343.7
1640.5
495
449.5
517.6
3294.6
