fid
26.7
241
10.3
13.5
164.9
97.5
21.8
27.9
9.9
6.5
24.8
8.4
5.2 
43.5
11.2
15
10.4
276.7
18
10
18.5
125.7
26.5
13.9
286.9
11.7
275.1
