lcp
1349
718.7
2985.2
1624.2
751.3
781.3
103.5
1421.7
965
672.6
840.3
757.5
624.6
682.199
590
2171.5
1267.7
589.7
684.3
685.8
933.5
2704.5
1873.1
564.2
858.5
629.5
1411.6
