fid
14.9
236
33.3
17.2
262
38.5
17.7
8.5
13
4.4
11.9
16.8
16
9.2
19.5
10.8
12.5
262.8
12.2
17.4
10.3
87.3
11.9
18.4
16.8
12.7
20.7
