lcp
1414.9
711.5
2960.2
1617.8
772.5
2014.2
133.3
1471.9
753.5
977.2
831.8
821.7
811.5
652.7
607.6
891.2
1353.7
666.4
944.1
718.4
1124.5
591.7
697.7
752.5
754.1
817.5
1569.8
