lcp
3647.6
7197.4.
2023.4
5843.5
2766.7
5133.5
5271.3
3200
4533.7
2382.4
4377
2749.9
6233.5
2891.5
4253.6
8629.3
7442
8511.2
1732.1
9512.2
4188.1
7551.2
3223.6
1518.6
7410.9
5777.2
6881.1
