lcp
340.5
506
2733.5
1365.2
548
1393.7
2675.8
1122.7
489.2
654.5
586
405.6
791
422.5
391.2
2157.1
905.9
387.5
382.7
413.2
2040.3
362.2
1626.5
516.9
537.5
305.1
3066.1
