fid
7.9
328
11.5
13.4
242.5
59.3
18.8
28.5
14.0
14.3
19
12.3
4.2
8.7
13
8.5
13.3
242.8
9.9
13.4
70.7
14.5
13
10.3
267.9
12.3
170.6
