fid
27.6
44.8
33.2
39.6
239.3
58.1
13.7
40.6
12.3
6.7
36.4
46.1
32.2
25.1
14.5
28.8
40.2
27.3
16.5
10.8
19.4
66
62.9
14.1
43.5
22.2
15.4
