lcp
2933.5
7319.8
5322.3
7025.9
2688.3
6533.4
5043.4
3644.5
4655.5
3073.6
4395.6
2748.3
8493.5
7369.6
4393
8544.6
8167.4
8546.2
2065
1530.9
6685.4
8432.5
3029.4
1965.3
4187.9
6037.4
5717.5
