fid
26.2
61.2
41.2
25.8
354.2
395.2
32.3
26.1
37.2
47.2
32.7
40.1
43
22.8
35.1
22.3
33.4
13
23.4
6.7
5.7
22.1
43.5
32.5
45.4
24.4
47.9
