lcp
1491.5
729.1
2874.1
1701.2
740.9
1950.3
154.8
1430.6
992.3
847.8
779.1
825.3
663.7
728.5
621.7
2159
1126
636.6
810.5
667.5
1287.2
2107.5
624.2
718.6
668.2
781.7
5585
